Date,DayOfMonth,Temp_Max,Temp_Avg,Temp_Min,DewPt_Max,DewPt_Avg,DewPt_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip,RandVal,DayOfWeek,Weekend,,,,,,,,,,,,,,,,,,,,
8/1/2022,1,95,82.7,74,76,73.5,70,97,75.6,46,15,6.3,0,30.2,30.1,30,0,0.403038698,Mon,0,,,,,,,,,,,,,,,,,,,,
8/2/2022,2,95,84.2,74,76,73.4,70,97,72.5,44,10,6,0,30.1,30,29.9,0,0.97050565,Tue,0,,,,,,,,,,,,,,,,,,,,
8/3/2022,3,92,79.3,73,77,73.7,70,97,83.8,59,25,5.1,0,30,30,29.9,0.14,0.479957464,Wed,0,,,,,,,,,,,,,,,,,,,,
8/4/2022,4,91,80.9,71,75,72.8,70,100,78.3,52,15,6.9,0,30.1,30.1,30,1.03,0.610280902,Thu,0,,,,,,,,,,,,,,,,,,,,
8/5/2022,5,90,81.3,73,77,74.5,72,100,81.2,57,14,5.2,0,30.1,30.1,30.1,0,0.424587355,Fri,0,,,,,,,,,,,,,,,,,,,,
8/6/2022,6,91,82.8,75,77,75.3,73,100,79.3,57,15,7,0,30.2,30.1,30.1,0,0.906687224,Sat,1,,,,,,,,,,,,,,,,,,,,
8/7/2022,7,90,81.6,74,77,73.7,71,97,78.1,59,14,5.5,0,30.2,30.1,30.1,0,0.390571797,Sun,1,,,,,,,,,,,,,,,,,,,,
8/8/2022,8,89,80,72,74,72.3,70,97,78.6,57,12,3.9,0,30.1,30.1,30,0,0.903979494,Mon,0,,,,,,,,,,,,,,,,,,,,
8/9/2022,9,90,80.4,72,77,73.6,71,97,80.9,57,22,5.8,0,30.1,30.1,30.1,0,0.388906818,Tue,0,,,,,,,,,,,,,,,,,,,,
8/10/2022,10,91,82.8,74,78,75.1,73,100,78.5,59,10,5.1,0,30.2,30.1,30.1,0.26,0.470321561,Wed,0,,,,,,,,,,,,,,,,,,,,
8/11/2022,11,89,77.8,72,76,72.3,68,94,84,63,29,5.1,0,30.1,30.1,30,0,0.085509935,Thu,0,,,,,,,,,,,,,,,,,,,,
8/12/2022,12,90,79.6,74,74,71.8,69,94,78.8,50,15,4.8,0,30.1,30,29.9,0.37,0.556675048,Fri,0,,,,,,,,,,,,,,,,,,,,
8/13/2022,13,83,77.2,73,76,73.7,72,100,89.3,76,17,6.3,0,30,30,30,0.07,0.355151474,Sat,1,,,,,,,,,,,,,,,,,,,,
8/14/2022,14,86,76.7,68,72,67.8,65,100,76.5,53,14,5.1,0,30,30,29.9,0.38,0.262353533,Sun,1,,,,,,,,,,,,,,,,,,,,
8/15/2022,15,90,77.5,65,69,65,61,97,69.5,39,9,2.7,0,29.9,29.9,29.8,0,0.124856266,Mon,0,,,,,,,,,,,,,,,,,,,,
8/16/2022,16,93,80.9,72,76,72,69,94,76,52,15,7.6,0,29.9,29.8,29.8,0,0.12151784,Tue,0,,,,,,,,,,,,,,,,,,,,
8/17/2022,17,91,77.8,72,78,73,70,97,86,53,23,6.7,0,29.9,29.9,29.8,0,0.889023352,Wed,0,,,,,,,,,,,,,,,,,,,,
8/18/2022,18,90,75.2,70,75,72.3,69,100,91.9,61,16,4.3,0,29.9,29.9,29.9,0.95,0.629311386,Thu,0,,,,,,,,,,,,,,,,,,,,
8/19/2022,19,90,78.8,71,77,73.7,70,100,85,61,12,3.9,0,30.1,30,29.9,1.3,0.350460849,Fri,0,,,,,,,,,,,,,,,,,,,,
8/20/2022,20,94,82.3,72,77,74.4,71,97,78.2,54,13,4.7,0,30.1,30.1,30,0.04,0.719422061,Sat,1,,,,,,,,,,,,,,,,,,,,
8/21/2022,21,92,81.7,74,77,74.4,71,100,80,54,17,5.5,0,30.1,30,30,0,0.568654394,Sun,1,,,,,,,,,,,,,,,,,,,,
8/22/2022,22,91,77.8,73,76,73.8,72,100,88.4,61,15,5.5,0,30,30,29.9,0.07,0.131367217,Mon,0,,,,,,,,,,,,,,,,,,,,
8/23/2022,23,89,79.8,73,75,73,70,97,80.9,59,12,4,0,29.9,29.9,29.9,0.86,0.504656761,Tue,0,,,,,,,,,,,,,,,,,,,,
8/24/2022,24,89,80,72,77,73.9,71,97,82.6,59,12,3.9,0,30,30,29.9,0,0.239429321,Wed,0,,,,,,,,,,,,,,,,,,,,
